attacking_pieces	pieces_on_king_side	close_combat_pieces	pawn_attack	pawn_defense	defensive_pawn_structure	blocked_center	open_file	strong_open_file	queen_bishop_diagonal	castling_type	bishops	Attack	Arguments	FEN	Result	Black	White	Event
continuous	continuous	continuous	continuous	continuous	g7 nog7 nog7_bishop	yes no	yes no	yes no	yes no	same different no	continuous	no yes	string	string	string	string	string	string
												class	meta	meta	meta	meta	meta	meta
2	5	1	0	2	nog7_bishop	no	yes	no	no	same	2	yes		1rbq1rk1/2n1ppbp/pp1p1n1B/2pP1p2/P3P2Q/2NB1N2/1PP3PP/R4RK1 b - - 0 1	1-0	Ilijc, M.	Tal, M.	Novi Sad 18/174
2	2	1	0	0	nog7	no	yes	no	no	same	1	yes		1r4k1/1p1b2q1/p3p3/P2p3Q/5p2/2PB4/1P4PP/4R1K1 b - - 0 1	1-0	Gulko, B.	Romanishin, O.	USSR (ch) 18/380
1	2	1	1	3	nog7	no	yes	no	no	different	0	yes		r4rk1/pp2pp1p/3pbnpQ/7P/2qNP3/2N2P2/PPP3P1/2KR3R b - - 0 1	0-1	Rajkovic, Du	Damjanovic, M.	Jugoslavija 18/426
1	4	0	2	3	g7	no	no	no	no	same	1	yes		r2n1r1k/1pnq1bpp/2p2p2/1pp2PP1/1P6/P2P2NP/1B3QB1/3RR1K1 b - - 0 1	1-0	Hort, V.	Taimanov, M.	Tallinn 19/42
0	2	0	1	3	g7	yes	no	no	no	same	2	yes		r4rk1/pb1n1pp1/1pq1p2p/4PP2/2P5/3B4/PB2Q1PP/R4RK1 b - - 0 1	0-1	Andersson, U.	Visier Segovia, F.	Las Palmas 19/569
2	4	0	2	2	nog7	no	no	no	no	same	0	yes		1rb1r3/pp2pp1k/2p4p/2n3PP/8/3qP1P1/PP3QB1/2R2RK1 b - - 0 1	1-0	Vaganian, R.	Taimanov, M.	Vilnius (zt) 20/26
2	4	1	2	1	nog7	no	yes	yes	no	same	0	yes		2r1rk2/5pbQ/4bq2/p2p4/3N1PPR/2P5/1P5P/5RK1 b - - 0 1	0-1	Timoscenko, G.	Sveshnikov, E.	USSR 20/412
2	3	0	0	3	g7	no	no	no	no	same	1	yes		r2q1rk1/pbp2ppp/1p3n2/1P1P4/2P2R2/2B5/P5BP/R2Q2K1 b - - 0 1	1-0	Blatny, F.	Mititelu, Gh	Decin 20/603
4	5	2	0	2	g7	no	yes	no	no	same	1	yes		r4rk1/ppp3pp/5n2/2b1pNB1/2q1p2Q/8/PPP3PP/3R1R1K b - - 0 1	1-0	Padevsky, N.	Maroja, H.	Virovitica 22/120
4	3	1	0	3	g7	no	no	no	no	same	2	yes		2rb2k1/pp1n1pp1/6qp/5N2/1P1BpQ2/1B1bP2P/5PP1/3R2K1 b - - 0 1	1-0	Espig, L.	Plachetka, J.	Odessa 22/129
3	3	0	0	2	nog7_bishop	no	no	no	no	same	2	yes		r2r2k1/ppp1n2p/4pp2/2P2b2/1bBP3N/4B3/1q4PP/2RQ1RK1 b - - 0 1	1-0	Shamkovich, L.	Rohde, M.	New York 22/164
4	5	3	0	1	nog7_bishop	no	no	no	no	same	1	yes		r1n1q2k/1p1n1Rbp/2p1r3/p1PpPQB1/N2P4/8/PP5P/5R1K b - - 0 1	1-0	Vukic, M.	Shamkovich, L.	New York 22/172
2	3	1	0	3	nog7	no	no	no	no	same	1	yes		r4r2/pbq2pkp/1pn1n1pN/3pP3/3p4/1B4NP/PP1Q1PP1/2R1R1K1 b - - 0 1	0-1	Petrosian, T.	Huebner, R.	Biel (izt) 22/173
0	1	0	2	2	nog7	yes	no	no	no	same	0	yes		q4rk1/r3bp2/1p2p1p1/3pP2p/1P1N2PP/2PR4/4QP2/2R3K1 b - - 0 1	1/2-1/2	Korchnoi, V.	Kurajica, B.	Amsterdam 22/241
2	2	0	0	2	nog7_bishop	no	no	no	yes	same	1	yes		r1b2rk1/1pnpq2p/1pp3p1/5p2/PP1Q4/8/1B3PPP/RN3RK1 b - - 0 1	1-0	Donchenko, A.	Timoscenko, G.	USSR 22/288
2	4	1	0	2	nog7_bishop	no	no	no	no	same	1	yes		r2qrbk1/1bpn1p2/p2p1n1p/1p4N1/3PP2B/7P/PPB2PP1/R2QRNK1 b - - 0 1	1/2-1/2	Smejkal, J.	Tal, M.	Biel (izt) 22/323
4	4	1	0	3	nog7_bishop	no	yes	no	no	same	2	yes		r2q1rk1/pb3p1p/1pnbp1p1/6N1/3P2Q1/2PB4/P4PPP/R1B2RK1 b - - 0 1	1-0	Krogius, N.	Sveshnikov, E.	Sochi 22/344
2	2	1	0	2	g7	no	no	no	no	same	0	yes		rn3r2/p1R2ppk/1p2p3/q2b2N1/3P4/8/P3QPPP/R5K1 b - - 0 1	1/2-1/2	Sosonko, G.	Gulko, B.	Biel (izt) 22/670
4	4	2	0	3	g7	yes	yes	no	no	same	1	yes		2r2rk1/pp1q1pp1/4p2p/n2nP1NQ/1b2N3/8/PP3PPP/R1B2RK1 b - - 0 1	~	Bogdanovic, Raj	Gliksman, Dar	Sarajevo 22/(346)
2	1	0	1	3	nog7	no	no	no	no	different	1	yes		r4r2/1p2ppkp/1q1p1np1/p3n2P/2B1P3/PPN5/1P1Q1PP1/2KR3R b - - 0 1	0-1	Marangunic, S.	Ivanovic, B.	Jugoslavija (ch) 23/167
3	1	1	0	3	g7	no	no	no	no	same	0	yes		r4rk1/p1qb1ppp/4p3/1p2N2n/2pPN3/2P1R3/PPQ2PPP/R5K1 b - - 0 1	1-0	Pomar Salamanca, A.	Timman, J.	Las Palmas 23/195
1	4	0	2	1	nog7_bishop	no	no	no	no	same	0	yes		r2n1rk1/pb1qb3/1p3p1P/2p1pPp1/2PpN3/3P2B1/PP2Q1B1/R4RK1 b - - 0 1	1-0	Nowak, I.	Bronstein, D.	Sandomierz 23/206
3	3	0	1	3	g7	no	no	no	yes	same	2	yes		r1bq1rk1/pppnbpp1/5n1p/3P4/3P2P1/2NB1N1P/PPQ2P2/R1B2K1R b - - 0 1	1-0	Pavicic, Z.	Kurajica, B.	Jugoslavija (ch) 23/240
4	4	1	0	1	nog7_bishop	no	no	no	yes	same	2	yes		1rb2r1k/2qn1pb1/3p4/1pnP1N1p/2p1PB2/2P4P/1PBQ2P1/R4R1K b - - 0 1	1/2-1/2	Portisch, L.	Tal, M.	Varese 23/314
2	3	0	1	2	nog7_bishop	no	no	no	no	no	0	yes		rn2qrk1/pp5p/2ppb1p1/5p2/2P1NN1P/BP4P1/P3PPB1/b2QK2R b K - 0 1	0-1	Kovacevic, Vlat	Piasetski, L.	Karlovac 24/115
4	3	2	1	3	g7	no	yes	no	no	different	2	yes		3rr1k1/2q2ppp/p7/1p1b1NPQ/2n5/b2B4/1PP4P/1KBR1R2 b - - 0 1	0-1	Dorfman, J.	Tisdall, J.	Mexico 24/384
0	1	0	1	2	g7	no	yes	no	no	different	0	yes		r2q1rk1/5pp1/p1bp4/1p2n1P1/4P2p/2N5/PPPQB3/1K2R2R b - - 0 1	1-0	Tukmakov, V.	Timoscenko, G.	USSR (ch) 26/416
3	3	0	2	3	g7	no	yes	no	no	same	1	yes		r4rk1/1pnnqbpp/2p1pp2/p6P/2P1NP2/PP1P3P/1B2Q1B1/R5RK b - - 0 1	1-0	Bellon Lopez, J.	Taimanov, M.	Bucuresti 27/12
1	2	1	2	2	nog7	yes	no	no	no	same	0	yes		5rk1/pq1n1p2/4p1p1/3pP1Np/1p1P2PP/8/PP2QP2/2R3K1 b - - 0 1	1-0	Hort, V.	Sznapik, A.	Helsinki 27/233
