attacking_pieces	pieces_on_king_side	close_combat_pieces	pawn_attack	pawn_defense	defensive_pawn_structure	blocked_center	open_file	strong_open_file	queen_bishop_diagonal	castling_type	bishops	Attack	FEN	Result	Black	White	Event
continuous	continuous	continuous	continuous	continuous	g7 nog7 nog7_bishop	yes no	yes no	yes no	yes no	same different no	continuous	no yes	string	string	string	string	string
												class	meta	meta	meta	meta	meta
4.000	3.000	2.000	0.000	3.000	g7	no	no	no	no	same	1.000	yes	rq3rk1/p3Rppp/1pb2n2/2pp1N2/3P4/2PB1Q2/PP3PP1/2R4K b - - 0 1	1-0	Forintos, Gy	Radulov, I.	Wijk aan Zee 17/235
3.000	4.000	1.000	0.000	2.000	g7	no	yes	no	no	no	2.000	yes	r1bq1rk1/pp1pb1pp/2n1pn2/6B1/7Q/2PB1N2/PP3PPP/RN2K2R b KQ - 0 1	1/2-1/2	Taimanov, M.	Padevsky, N.	Vrnjacka Banja 17/345
4.000	4.000	1.000	0.000	2.000	nog7_bishop	no	no	no	no	same	1.000	yes	r2q1r2/p3ppk1/3pPbp1/2p3B1/7N/3Q4/P1P3PP/5RK1 b - - 0 1	1-0	Poutiainen, P.	Borngaesser, R.	Teesside 18/176
1.000	1.000	0.000	2.000	3.000	nog7	no	no	no	no	different	0.000	yes	3r1rk1/pp2ppbp/2p3p1/q3P3/2bP2PP/2NNQ3/PPP5/1K1R2R1 b - - 0 1	1-0	Chebanenko, V.	Spassky, B.	USSR 18/178
0.000	2.000	0.000	1.000	3.000	g7	yes	no	no	no	same	2.000	yes	1r1r2k1/2qpbppp/2p1p3/3nPP2/3B4/3B4/P1P3PP/R2Q1RK1 b - - 0 1	0-1	Kirov, N.	Tal, M.	Novi Sad 18/371
1.000	3.000	0.000	2.000	3.000	nog7_bishop	no	yes	no	no	same	2.000	yes	r1br2k1/2q1bp1p/ppnpp1p1/2n3P1/P3PP1Q/1NNBBR2/1PP4P/R5K1 b - - 0 1	0-1	Deze, A.	Minic, D.	Sombor 18/379
2.000	2.000	0.000	1.000	3.000	g7	no	no	no	yes	different	1.000	yes	r4rk1/1b1nbpp1/p3p1p1/q2p3P/1p1NP3/4BP2/PPPQ4/1K1R1B1R b - - 0 1	1-0	Deze, A.	Tal, M.	Novi Sad 18/400
1.000	2.000	0.000	3.000	3.000	g7	no	no	no	no	different	1.000	yes	1rb2rk1/1q3ppp/p2P4/n2p1PPP/1p1B4/8/PPP2Q2/2KR3R b - - 0 1	1/2-1/2	Malich, B.	Tal, M.	Halle 18/445
2.000	3.000	0.000	1.000	3.000	nog7_bishop	no	yes	no	no	same	2.000	yes	3r1rk1/1q2bp1p/p1bppnp1/1p3P2/3BP3/P1NB3Q/1PP3PP/4RR1K b - - 0 1	1-0	Larsen, B.	Hartston, W.	Las Palmas 18/471
1.000	3.000	1.000	0.000	3.000	nog7	no	yes	no	no	same	1.000	yes	2r2r2/pb1q1pkp/1p2p1p1/n5Q1/3pP3/2PB2N1/P4PPP/3RR1K1 b - - 0 1	1-0	Garcia, S.	Tarjan, J.	Wijk aan Zee 18/609
